sent,type,original_sent
"But I did enjoy getting to spend time with my grandmother , who I seldom got to visit while growing up .","['a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_relative_clause_who_which_that', 'a2_ing_non_finite_forms']","But I did enjoy getting to spend time with my grandmother, who I seldom got to visit while growing up."
"I did well in high school and chose to attend a prestigious ( and expensive ) private university , far away from home .","['a1_past_simple_reg', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_to_non_finite_forms']","I did well in high school and chose to attend a prestigious (and expensive) private university, far away from home."
And I had the opportunity to work in a laboratory and contribute to meaningful scientific research studying Alzheimer 's disease .,"['a1_be_have_do_in_the_past', 'a2_to_non_finite_forms']",And I had the opportunity to work in a laboratory and contribute to meaningful scientific research studying Alzheimer's disease.
"I had two small children and I was afraid of going to prison for life or , worse , getting executed .","['a1_to_be_past_was_were', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_adjectives_ed', 'a2_ing_non_finite_forms']","I had two small children and I was afraid of going to prison for life or, worse, getting executed."
"They alleged that in the months before his death , Sankari had : Do you call this safe ?","['a1_present_simple_reg_act', 'a1_past_simple_reg', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past']","They alleged that in the months before his death, Sankari had: Do you call this safe?"
"According to the affidavit , Martin was a contractor with the federal government and had a top secret national security clearance .","['a1_to_be_past_was_were', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past']","According to the affidavit, Martin was a contractor with the federal government and had a top secret national security clearance."
Every race had its dramas that went beyond seeing who would cross the line first .,"['a1_past_simple_irreg', 'a1_be_have_do_in_the_past']",Every race had its dramas that went beyond seeing who would cross the line first.
"If we had Scalia was living or Scalia had been replaced by me , you would n't have had that , OK ?","['a1_be_have_do_in_the_past', 'a2_past_continuous', 'a2_past_perfect_basic']","If we had Scalia was living or Scalia had been replaced by me, you wouldn't have had that, OK?"
"Asked how successful a legislative campaign would be under those circumstances , officials with Planned Parenthood said they were confident that these efforts had momentum .","['a1_to_be_past_was_were', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_narrative_tenses', 'a2_say_reported_verb']","Asked how successful a legislative campaign would be under those circumstances, officials with Planned Parenthood said they were confident that these efforts had momentum ."
"ESPN owns and produces the X Games , which had no comment on Mirra 's diagnosis .","['a1_possesive_s_sing', 'a1_present_simple_3d_pers', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past']","ESPN owns and produces the X Games, which had no comment on Mirra's diagnosis."
"He said ' this did something good for me , so it will be reliable and good for me in every other context ' .","['a1_past_simple_irreg', 'a1_future_simple', 'a1_be_have_do_in_the_past', 'a2_say_reported_verb']","He said 'this did something good for me, so it will be reliable and good for me in every other context'."
Forty years ago we had Pong - two rectangles and a dot .,"['a1_past_simple_irreg', 'a1_be_have_do_in_the_past']",Forty years ago we had Pong - two rectangles and a dot.
"It never did , but with the climate crisis there is no choice .","['a1_there_is_am_are', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past']","It never did, but with the climate crisis there is no choice."
"They were poor again here in Ljubljana and fortunate , in the extreme , that Southgate did not have to reflect on England 's first defeat in a qualifying fixture for seven years .","['a1_possesive_s_sing', 'a1_to_be_past_was_were', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past']","They were poor again here in Ljubljana and fortunate, in the extreme, that Southgate did not have to reflect on England's first defeat in a qualifying fixture for seven years."
Jesse Lingard and Theo Walcott did little to disprove the theory they were fortunate to be in the team .,"['a1_to_be_past_was_were', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_to_non_finite_forms']",Jesse Lingard and Theo Walcott did little to disprove the theory they were fortunate to be in the team.
"Gary Cahill , in particular , had a difficult game and could have been sent off for a challenge on Josep Ilicic late on , leading to a confrontation between Lingard and Aljaz Srtuna .","['a1_be_have_do_in_the_past', 'a2_could']","Gary Cahill, in particular, had a difficult game and could have been sent off for a challenge on Josep Ilicic late on, leading to a confrontation between Lingard and Aljaz Srtuna."
"Twice at the start of the second half , Slovenia had corners from the right and on both occasions","['a1_past_simple_irreg', 'a1_be_have_do_in_the_past']","Twice at the start of the second half, Slovenia had corners from the right and on both occasions"
"Indeed , a poll released last Wednesday had Trump winning just 70 % of the Republican vote in a race against Hillary Clinton .","['a1_past_simple_reg', 'a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_ing_non_finite_forms']","Indeed, a poll released last Wednesday had Trump winning just 70% of the Republican vote in a race against Hillary Clinton."
