"sentence","predicted_type","actual_type","data_trash","sentence_id","date"
"Thank you so much, Chris.","present_simple","other",0,"5e19bb3fb01d430f2e067c126f7e79b1841db3f09a9f48b49fc75296","2020-10-20 21:56:13.058683+04"
"And it's truly a great honor to have the opportunity to come to this stage twice; I'm extremely grateful.","used_to","to_be_present",0,"a24e3759afd810e65ff8fcd8e0fdd54c7c96d09c50610025c8c4fc0e","2020-10-20 22:30:20.907841+04"
"I have been blown away by this conference, and I want to thank all of you for the many nice comments about what I had to say the other night.","present_perfect","other",0,"2f1d9d8e23742f57810d329afa906419bbc729c84782039f0049f5ce","2020-10-20 22:30:56.058232+04"
"Put yourselves in my position.","past_simple","can",0,"886b84c9555d72d5fd3549b604061c20e2ee271a6448ff84d0eacf37","2020-10-20 22:31:41.245058+04"
""" There's been kind of a series of epiphanies.","present_perfect","trash",1,"7527ab3af529a1f4ea9523bebfc48a2d5dd062c50a5b3fe97087be9c","2020-10-20 22:38:23.0216+04"
"And I say that sincerely, partly because (Mock sob) I need that.","present_simple","present_simple",0,"3f3f530d84ce1cb66ae810f33586be99dd70504b8f0c5c7d1ad74064","2020-10-20 22:33:15.104089+04"
"I flew on Air Force Two for eight years.","past_simple","future_simple",0,"c3660d1706dbcb283f21534a36f11dfef02cd43d00dafb935b408157","2020-10-20 22:33:27.289908+04"
"Now I have to take off my shoes or boots to get on an airplane!","used_to","can",0,"9aee4f5bf675b9d7df11d24935479e8f9fb040982680c3c1f6a38d96","2020-10-20 22:33:39.518567+04"
"I'll tell you one quick story to illustrate what that's been like for me.","future_simple","future_simple",0,"99e5e8004585466bceebe698dd3b9a1d0c349535ffc06158a1505826","2020-10-20 22:33:44.073493+04"
"It's a true story every bit of this is true.","to_be_present","future_simple",0,"b4a546d9484d9f5914b360363d72357e89f66fc8977980664fc8d07b","2020-10-20 22:33:50.99831+04"
"The very next day, continuing the totally true story, I got on a G-V to fly to Africa to make a speech in Nigeria, in the city of Lagos, on the topic of energy.","used_to","other",0,"bd828641e9a963a749216d6bd1fac445177e216d0867936ebfd5e635","2020-10-20 22:38:37.104292+04"
"And I began the speech by telling them the story of what had just happened the day before in Nashville.","past_simple","other",0,"677228af1fa113f2d9bfaf6fe5b369552e1e003a3ea8cf32787311a2","2020-10-20 22:38:48.516336+04"
"And I told it pretty much the same way I've just shared it with you:","present_perfect","other",0,"16f644b18c073dee610d650c07c987a53c296b8276a29bd758b2be15","2020-10-20 22:41:40.579181+04"
"Tipper and I were driving ourselves,","past_continuous","trash",1,"72c4e7666e4d057d0146b958fb134ab9deb75b50bc42c3cb258110cb","2020-10-20 22:41:44.907819+04"
"Shoney's, low-cost family restaurant chain, what the man said they laughed.","past_simple","past_simple",0,"396f88a3349c360d194985a25dde75ac6c7e12a4704c920ab37d0b57","2020-10-20 22:42:03.217469+04"
"White House we were driving from our home in Nashville to a little farm","past_continuous","past_simple",0,"0b83d649e54180170ba41ebb1f8224e9b9c28a35551bcb5fed4c68cc","2020-10-20 22:34:24.961598+04"
"I gave my speech, then went back out to the airport to fly back home.","past_simple","past_simple",0,"983513ab12c34a393bc3d9ab10e738828b4f8398b9a76022082be296","2020-10-20 22:42:10.192171+04"
"I fell asleep on the plane until, during the middle of the night, we landed on the Azores Islands for refueling.","past_simple","past_simple",0,"2d10de1353dca91f9dbd31dcf7afda3421c7802ca8259432a746271e","2020-10-20 22:42:19.260737+04"
"I woke up, they opened the door, I went out to get some fresh air, and I looked, and there was a man running across the runway.","past_simple","other",0,"bb57b77540d54c74b9a9d90415b10eae9295f12316dafe44e07b8665","2020-10-20 22:42:24.521727+04"
"Soon after Tipper and I left the (Mock sob)","past_simple","past_simple",0,"8d43012ff18f0cea570dca709943d8be9b7c5294820d86cafa81009f","2020-10-20 22:34:28.944513+04"
"we have 50 miles east of Nashville.","present_perfect","present_simple",0,"7f64664a20abc52ef48500d29d0e52b51f1d5202b246c03603ecde70","2020-10-20 22:34:42.25494+04"
"And he was waving a piece of paper, and he was yelling, ""Call Washington!","past_continuous","trash",1,"91804aac675ea7b2fa45a400475357d531d5afd0f985e495012f8c6e","2020-10-20 22:42:41.466476+04"
"I know it sounds like a little thing to you, but I looked in the rear-view mirror and all of a sudden it just hit me.","past_simple","other",0,"28e4e5b27a9f5b33cdc29e026e9961d34b4a907a8279b2dd5ec5232a","2020-10-20 22:35:15.254764+04"
"There was no motorcade back there.","to_be_past","other",0,"38c684a1ad03f5fe5bf2f4fd65e41a5cad33935c95b17c69bb9491f0","2020-10-20 22:35:46.529033+04"
"You've heard of phantom limb pain?","present_perfect","trash",1,"47775632cc54d66eff0d3a9403cf8271f5c4ff19584f61b8e4dcbaba","2020-10-20 22:36:05.111333+04"
