Text,Tag,Markers
"When I see it in the mirror as I undress for the shower, I no longer think of the pain of my adolescence, the fear of my mother's shadow.",yes,label_sentences__4_26_21_1000_
wrong?That was the big question he needed an answer to.,no,label_sentences__4_26_21_1000_
"Under this metric, the Sven's error would have become apparent far sooner.",no,label_sentences__4_26_21_1000_
"For those who missed the previous lessons, check them out here.",no,label_sentences__4_26_21_1000_
I struggle to relate to womanhood as defined by heterosexual women.,yes,label_sentences__4_26_21_1000_
"The present system cannot give everyone equal access to the value that money is supposed to give; firstly, the fact that the money is not yet digital means there isn't yet a complete correlation between where the market is heading and the 'language of the market'(money).Secondly, the lack of absolute transparency means not everyone knows and can influence the dynamics of all the value in the 'money value chain' and finally, the uncertainty around financial and data security means a few people are still skeptical about online transactions or eCommerce as in the case of Africa and some exploit the existing security loopholes to cheat or use people's data for completely selfish reasons.",no,label_sentences__4_26_21_1000_
"course, I'm being provocatively rhetorical here.",no,label_sentences__4_26_21_1000_
"Happy travels!Elvy is a London based disabled blogger whose focus is on disabled travel, dating and lifestyle.",no,label_sentences__4_26_21_1000_
"(Facebook is a notable example, though almost certainly not the only one.)",no,label_sentences__4_26_21_1000_
Articles you will like if you read this one:,no,label_sentences__4_26_21_1000_
"Later, when I discovered the racism and anti-Semitism rampant throughout Plath's work, I wasn't too surprised.",yes,label_sentences__4_26_21_1000_
"In our modern society, you are the dorm room and Facebook, Twitter, YouTube and other companies are the robots.",yes,label_sentences__4_26_21_1000_
He had his answer.. . . .,no,label_sentences__4_26_21_1000_
If the projection bears out - or turns out to be understated - it would be the sharpest contraction since the Great Depression of the 1930s.,yes,label_sentences__4_26_21_1000_
"Fortunately, it doesn't show me who those 62 people are - but",no,label_sentences__4_26_21_1000_
"If it wasn't, prejudice borne from ignorance would not be nearly so widespread.",no,label_sentences__4_26_21_1000_
"By the end, I always announced that I'd won, though during the actual act of it, I would forget we were supposed to be competing.",no,label_sentences__4_26_21_1000_
"The discipline of environmental economics is more developed than you might think, given that it receives little publicity.",yes,label_sentences__4_26_21_1000_
"Bobby padded out to the living room in his pajamas and wool socks, coming up just a few feet away from the front door.",yes,label_sentences__4_26_21_1000_
Productivity is especially prone to bursts of enthusiasm followed by burnout.,yes,label_sentences__4_26_21_1000_
But Plath was also unforgivably narcissistic and so blinded by her own hurts that she could not recognize the ways she hurt others.,yes,label_sentences__4_26_21_1000_
"As you might expect from the fact that most biofuels are blended with regular gasoline or diesel before being used, there is no way for them to guarantee, on their own, a stable supply of energy.",yes,label_sentences__4_26_21_1000_
"First, they completely overhauled their product.",no,label_sentences__4_26_21_1000_
And just like he said: science is like a knife.,yes,label_sentences__4_26_21_1000_
It's also possible that rising prices may be partially mitigated by the creation of jobs through biofuels' crops farming.,yes,label_sentences__4_26_21_1000_
"When they returned, everything was in disarray.",no,label_sentences__4_26_21_1000_
"that is, what the rankings are really optimizing for.",no,label_sentences__4_26_21_1000_
"Maybe the pain never dissolves, maybe it always exists inside us, but it can exist alongside a future that is painless.",yes,label_sentences__4_26_21_1000_
The rise of Blockchain and its digital currencies like Bitcoin is already a pointer to what can happen if we digitalized all currencies and completely decentralized the internet.,yes,label_sentences__4_26_21_1000_
'Dasgupta goes on to provide historical examples of how the depreciation of nature has led to adverse economic consequences in the long run.,yes,label_sentences__4_26_21_1000_
Scientists believe that these observations indicate that we are at the start of the Earth's sixth mass extinction event[2].,yes,label_sentences__4_26_21_1000_
Sleeping overnight in a strange parking lot just outside a city didn't seem like the safest option for two people who had never experienced van life before.,yes,label_sentences__4_26_21_1000_
Why give stuff away for free if we don't believe that universal access to knowledge is necessary for personal and social as well as economic growth?,yes,label_sentences__4_26_21_1000_
"More often than not, the combat itself slowed to drag, and the hype surrounding a battle quickly diminished as I began to painfully await the next story section.",no,label_sentences__4_26_21_1000_
"There's some potentially delightful serendipity here - I joined a welcome room for a person I hadn't talked to in years on a whim, and while they weren't actually there, I wound up virtually meeting some other random mutual friends of theirs.",yes,label_sentences__4_26_21_1000_
That's a lot of money for a game that's largely played outdoors to earn during a quarantine.,yes,label_sentences__4_26_21_1000_
The technology is at the backbone of digital currency and can be applied to various aspects of online transactions and dealings like identity management.,yes,label_sentences__4_26_21_1000_
"In it, my mother and I lived together in an old house, and we knew each other in a way I now realize we never will.",yes,label_sentences__4_26_21_1000_
"When women hurt other women, it is deep and lasting and influential.",yes,label_sentences__4_26_21_1000_
"And her mother had been a victim too, molested by her father while her mother allowed it to go on.",yes,label_sentences__4_26_21_1000_
I think about my mother's laugh.,no,label_sentences__4_26_21_1000_
The Device That Stops Seizures Before They Happen💫 Detecting Pneumonia Using CNNs,no,label_sentences__4_26_21_1000_
"By securing the data of every individual, you take away the risks and unethical consequences of money; internet fraud will be absent in an internet that is completely built on a decentralized system like Blockchain.",yes,label_sentences__4_26_21_1000_
"Conclusively, these three factors: access, control, and security which this article revolved around, are not specifically referring to the money itself.",no,label_sentences__4_26_21_1000_
"When I saw the large parking spaces designated for RVs, I knew all my worries were for nothing.",yes,label_sentences__4_26_21_1000_
Best not to leave politicians to their own devices.,yes,label_sentences__4_26_21_1000_
It also contributed to developing a unifying explanation of everything - the universe as one interacting entity.,no,label_sentences__4_26_21_1000_
And they never share images of themselves eating in the middle of the kitchen with nowhere to sit.,yes,label_sentences__4_26_21_1000_
Pyotr achieved a good result in Macroeconomics 101 and imparts his wisdom. ',no,label_sentences__4_26_21_1000_
"When I granted the app access to my contacts, within hours it was nudging me to invite my former pediatrician, barber, and a health worker who once cared for my dying father to join Clubhouse - and sending me push notifications every time someone from my contacts signed up so",yes,label_sentences__4_26_21_1000_
"The review will explore the interaction of humans with nature, the economic costs of biodiversity loss, and ways to simultaneously enhance biodiversity and economic prosperity.",yes,label_sentences__4_26_21_1000_
"An introduction of the 'Wild Area' (a large, open-area where trainers could catch Pokémon and encounter other players) seemed innovative and daring for the team to tackle, but it fell flat mechanically.",yes,label_sentences__4_26_21_1000_
"As a teenager, I had a specific response to whenever my mother would hurt me.",yes,label_sentences__4_26_21_1000_
My mother always loved 'things': shelves filled with knickknacks and figurines and ceramic plaques and fragile pottery.,yes,label_sentences__4_26_21_1000_
That translates into lending capacity of more than $2tn.,no,label_sentences__4_26_21_1000_
"In fact, our brains have 80-100 billion neurons and an estimated amount of 700 trillion synaptic connections.",yes,label_sentences__4_26_21_1000_
"We decided we were too tired to deal with these issues, so we bundled up and just went to sleep.",yes,label_sentences__4_26_21_1000_
"What are your numbers?Even though I am especially conscious about what I watch, I very often find myself watching garbage content just because it popped up in my recommendation feed.",no,label_sentences__4_26_21_1000_
"He read the next, and the next and realized it was meant for him.",no,label_sentences__4_26_21_1000_
"If you've ever caught yourself thinking about travelling alone, but then stopped yourself for whatever reason, here are some lessons I've learnt over the years that continue to give me the push and confidence to just go for it.",yes,label_sentences__4_26_21_1000_
One reason is that not every business is built to entrust franchisees with quality control.,no,label_sentences__4_26_21_1000_
I remember waiting in line at Starbucks with my son for instance and being fascinated by him freaking out about who was in the queue in front of us-and being impressed as the two,yes,label_sentences__4_26_21_1000_
"This leads to much lower emissions overall, and therefore a much better impact on the environment.",yes,label_sentences__4_26_21_1000_
"Quickly, I realized that most of these were closed because it was off-season.",yes,label_sentences__4_26_21_1000_
"When you put, say again, $10,000 in a bank.",no,label_sentences__4_26_21_1000_
"Slightly panicked and mentally going through different scenarios in my head, I saw three men on the platform and a light bulb went on.",yes,label_sentences__4_26_21_1000_
"Given all this, and inspired by my experiences at VidCon, I set out to see what I could achieve as a time and talent-limited academic.",no,label_sentences__4_26_21_1000_
This was what I told girls when I kissed them. ',no,label_sentences__4_26_21_1000_
you once went on a bad date with.,no,label_sentences__4_26_21_1000_
Underneath this was the fact that I also loved women - but in a way that was 'wrong.',yes,label_sentences__4_26_21_1000_
"Economists assume that nature is a fixed, indestructible capital asset...",yes,label_sentences__4_26_21_1000_
"When my niece announced she wanted to shave her head of beloved auburn curls, my sister gamely fetched a pile of hairstyle magazines for her to thumb through and choose between.",yes,label_sentences__4_26_21_1000_
It's an approach that's both described in the paper and outlined in a series of online tutorials.,no,label_sentences__4_26_21_1000_
"Yet, it's worth talking about biofuels, as they've managed to gain quite a foothold in our current energy usage for transportation, and they represent a big part of the carbon reduction strategies of many countries going forward.",yes,label_sentences__4_26_21_1000_
And we are our own worst critics.,no,label_sentences__4_26_21_1000_
But eventually they break down and you retreat back to an easier default.,no,label_sentences__4_26_21_1000_
My outward dress was really a reflection of my inner state.,yes,label_sentences__4_26_21_1000_
Access can only be achieved when individuals have absolute control and autonomy over their money and feel their money is secured and not vulnerable to the whims of selfish hegemonies.,yes,label_sentences__4_26_21_1000_
"If you feel like your productivity working from home has been slipping, wear some nice pants.",yes,label_sentences__4_26_21_1000_
Read more: 10 things I wish I knew about van life before spending a weekend in a camper,no,label_sentences__4_26_21_1000_
"although reporting is piecemeal, obscure and the degree of implementation varies widely across countries.",no,label_sentences__4_26_21_1000_
"Additionally, putting a fitted sheet on a bed that's up against three walls is something I never wish to do again.",yes,label_sentences__4_26_21_1000_
"Emily Dickinson suffered alone and quietly, like my sister.",yes,label_sentences__4_26_21_1000_
"Slowly, we came to accept that the heat was broken and that we had a cold night ahead of us.",yes,label_sentences__4_26_21_1000_
"If you ask a random stranger about economics - as you do - chances are, they won't know much.",yes,label_sentences__4_26_21_1000_
"I know a few people who refuse to use the ATM or conduct any online transaction and will always visit the bank physically or pay for services in cash always, yes, here in Africa.",no,label_sentences__4_26_21_1000_
but it was a red herring.,no,label_sentences__4_26_21_1000_
This is always the question we ask ourselves when we are mistreated: What would have to change for them to love,yes,label_sentences__4_26_21_1000_
The twist is that the list also shows you how many 'friends on Clubhouse' each of those people already has - and ranks them from most connected to least connected.,yes,label_sentences__4_26_21_1000_
Another flight attendant woke up to me knocking on her door.,yes,label_sentences__4_26_21_1000_
Having muscular dystrophy means that I have general muscle weakness,no,label_sentences__4_26_21_1000_
"To deny this is to deny the victims their own voices, their own articulation and excision of pain.",yes,label_sentences__4_26_21_1000_
I held the bottled snake in my hands as my brother-in-law explained this.,no,label_sentences__4_26_21_1000_
"She wrote: 'Linda, you are leaving / your old body now, /",no,label_sentences__4_26_21_1000_
"Once you've agreed to upload your phone's address book, Clubhouse uses it to recommend people to follow who are already on the app, which is common practice for social apps these days.",yes,label_sentences__4_26_21_1000_
The dream itself was innocuous: We watched a movie.,yes,label_sentences__4_26_21_1000_
"I tried to imagine the horror of waking up to find that, in your unconsciousness, your body had been so mutilated.",yes,label_sentences__4_26_21_1000_
"From 2012 to 2019, Domino's not only grew revenue by 12% per year, but also grew net earnings by 20% per year and returned almost $4.5 billion in cash to equity holders through dividends and repurchases.",yes,label_sentences__4_26_21_1000_
"Rutger Bergman, author of Utopia for Realists, sums up the issue well: 'Environmental pollution even does double duty: One company makes a mint by cutting corners while another is paid to clean up the mess.",yes,label_sentences__4_26_21_1000_
