sent,type
This apple is better than that one.,a1_comparative_exept
He thinks you are better than us.,a1_comparative_exept
"Yes. I couldn't find a better friend than Alex, could I? she said.",a1_comparative_exept
But she knows better than any one else what value speech has had for her.,a1_comparative_exept
Better than anything the world has ever seen.,a1_comparative_exept
It was worse than I expected.,a1_comparative_exept
There's no point in making it look any worse than it is.,a1_comparative_exept
It's worse than that.,a1_comparative_exept
Worse off than our poorest beggars.,a1_comparative_exept
She fell farther than she expected.,a1_comparative_exept
"Darian stirred, pushing himself farther into the corner.",a1_comparative_exept
It was on one of these occasions that she wandered farther than she realized.,a1_comparative_exept
"Farther and farther he rode away, stopping at other regiments, till at last only his white plumes were visible to Rostov from amid the suites that surrounded the Emperors.",a1_comparative_exept
The assistant asked some further questions.,a1_comparative_exept
He offered no further information and she felt uncomfortable about asking.,a1_comparative_exept
Betsy took his hand and we moved further down the sidewalk.,a1_comparative_exept
Len walked further into the room.,a1_comparative_exept
"In the week that followed, they drifted further apart.",a1_comparative_exept
Finding the most effective sources remained less than satisfactory.,a1_comparative_exept
"Alex spoke from behind her, his tone less than friendly.",a1_comparative_exept
"A competing company decides to make an up-front investment and build a new factory in a distant land, high in the mountains where residents who choose to live there have less economic opportunity.",a1_comparative_exept
Less than a week later she passed another milestone.,a1_comparative_exept
Italian food is better than American food.,a1_comparative_exept
My mother's cooking is worse than your mother's cooking.,a1_comparative_exept
"Think no more about it, he said.",a1_comparative_exept
This weekend looks worse than we thought.,a1_comparative_exept
"The case is this: my father's health is growing noticeably worse, he cannot stand any contradiction and is becoming irritable.",a1_comparative_exept
During this halt the escort treated the prisoners even worse than they had done at the start.,a1_comparative_exept
Some might say something I consider even worse: It is inexcusable that some go hungry while you have so much.,a1_comparative_exept
Women are more intelligent than men.,a1_comparative_long
Health is more important than money.,a1_comparative_long
I want to have a more powerful computer.,a1_comparative_long
Is French more difficult than English?,a1_comparative_long
Mars is more distant from the Sun.,a1_comparative_long
Big dogs are more gentle than small dogs.,a1_comparative_long
This dictionary is more useful than the one we had before.,a1_comparative_long
You'll have to try to be more careful in future.,a1_comparative_long
The second lecture was more interesting than the first.,a1_comparative_long
That way of calculating the figures seems less complicated to me.,a1_comparative_long
That film was less interesting than the last one I saw.,a1_comparative_long
I'm more intelligent than he is.,a1_comparative_long
A rose is more beautiful than a daisy.,a1_comparative_long
Learning Japanese is more difficult than learning Italian.,a1_comparative_long
This book is more boring than the last one.,a1_comparative_long
I need to buy a more modern phone.,a1_comparative_long
The shops are always more crowded just before Christmas.,a1_comparative_long
My sister is much more intelligent than me,a1_comparative_long
Russian grammar is more difficult than English grammar.,a1_comparative_long
"The older you get, the more irritating you become.",a1_comparative_long
I find maths lessons more enjoyable than science lessons.,a1_comparative_long
You are more polite than Joey.,a1_comparative_long
This car is more expensive than my last one.,a1_comparative_long
"This car is certainly better, but it's much more expensive.",a1_comparative_long
"The faster you drive, the more dangerous it is.",a1_comparative_long
"Who is more famous, Lady Gaga or Madonna?",a1_comparative_long
The manager wants to be more popular than the previous one.,a1_comparative_long
Arabic is more difficult than Russian.,a1_comparative_long
This morning is more peaceful than yesterday morning.,a1_comparative_long
Jane is smarter than her sister.,a1_comparative_short
London is bigger than Santiago.,a1_comparative_short
I want a faster car.,a1_comparative_short
They are looking happier.,a1_comparative_short
"He now looked like a deader fish, one of last year's, cast up on some lonely beach and left there at the mercy of the wind and tides.",a1_comparative_short
"if I worked really hard-if I gave 100 percent and never quit-I would still be smaller, slower, weaker, and less coordinated than the other kids.",a1_comparative_short
The lights were softer.,a1_comparative_short
And Online Course B is cheaper than Online Course A.,a1_comparative_short
I'm taller than you.,a1_comparative_short
He's shorter than me.,a1_comparative_short
Russia is larger than Mexico.,a1_comparative_short
I think Lisa is shorter than Pam.,a1_comparative_short
The cat is smaller than the dog.,a1_comparative_short
"When you hire people who are smarter than you are, you prove you are smarter than they are.",a1_comparative_short
Julia is taller than her friend.,a1_comparative_short
The Amazon River is longer than the Seine.,a1_comparative_short
His house is smaller than his mother's apartment.,a1_comparative_short
Nick is taller than Mike.,a1_comparative_short
The teacher is nicer than the principal.,a1_comparative_short
She is lazier than her younger sister.,a1_comparative_short
Greg is happier than me.,a1_comparative_short
This babysitter is crazier than the previous one.,a1_comparative_short
That car is bigger than this one.,a1_comparative_short
Florida is hotter than Colorado.,a1_comparative_short
The men are taller than the women.,a1_comparative_short
These shoes are cheaper than the blue ones.,a1_comparative_short
I'm shorter than my brother.,a1_comparative_short
She is more inquisitive than her sister.,a1_comparative_short
"Jim and Jack are both my friends, but Jack is friendlier.",a1_comparative_short
I've got a terrible pain in my back.,a1_have_has_got
They haven't got a car.,a1_have_has_got
She's got two cats and a dog.,a1_have_has_got
Have you got a drill?,a1_have_has_got
How many brothers have you got?,a1_have_has_got
She's got a new boyfriend.,a1_have_has_got
She's got a delightful voice.,a1_have_has_got
It's got 153 calories and 45g of carbohydrates.,a1_have_has_got
He hasn't got many friends.,a1_have_has_got
I've got swimming practice at seven.,a1_have_has_got
Have you got everything you need?,a1_have_has_got
Have we got any red chilli peppers at home?,a1_have_has_got
I have got a new car.,a1_have_has_got
They have got two beautiful children.,a1_have_has_got
We've got pizza for dinner.,a1_have_has_got
We've got a house in Vancouver.,a1_have_has_got
Have you got a minute?,a1_have_has_got
Mike hasn't got any brothers.,a1_have_has_got
Has your sister got long hair?,a1_have_has_got
She hasn't got a headache anymore.,a1_have_has_got
We have got many good movies.,a1_have_has_got
My sister has not got dog.,a1_have_has_got
Have they got a new house?,a1_have_has_got
You've got a high temperature.,a1_have_has_got
Have you still got a bad headache?,a1_have_has_got
Have you got any time to help me with my maths homework?,a1_have_has_got
Have you got a sore throat as well as a runny nose?,a1_have_has_got
"Have you got a new car, Paul?",a1_have_has_got
"Sue's got her own bedroom, but neither Debbie nor I have.",a1_have_has_got
This is my parents' house.,a1_possessive_s_plurar
Those are ladies' shoes.,a1_possessive_s_plurar
These are men's shoes.,a1_possessive_s_plurar
Children's clothes are very expensive.,a1_possessive_s_plurar
Dolphins got caught in the fishermen's nets.,a1_possessive_s_plurar
"The geese's eggs were found on the road, smashed.",a1_possessive_s_plurar
The chickens' eggs were taken by the farmer early in the morning.,a1_possessive_s_plurar
Ten years' experience in marketing has taught me what works and what doesn't.,a1_possessive_s_plurar
Twenty years' experience is nothing to sneeze at.,a1_possessive_s_plurar
The kittens' toys are everywhere.,a1_possessive_s_plurar
All of the books' pages are ruined.,a1_possessive_s_plurar
The women's shoes are very expensive.,a1_possessive_s_plurar
The tables' legs were all wobbly and needed repair.,a1_possessive_s_plurar
People are prepared to pay high prices for designers' clothes.,a1_possessive_s_plurar
The children's clothes were brand new.,a1_possessive_s_plurar
The students' success was largely attributable to their hard work and dedication.,a1_possessive_s_plurar
"Bill and Mary's car was a lemon, leading them to seek rescission of their contract under the state's lemon law.",a1_possessive_s_plurar
"Joanne's and Todd's cars were bought from the same dealer; both proved useless, even though Joanne's car was an import and Todd's was a domestic model.",a1_possessive_s_plurar
The car in question was Roger Weiss's red convertible.,a1_possessive_s_plurar
The species' status was changed to endangered.,a1_possessive_s_plurar
"The house on the left is the Smiths', but the house at the end of the street is the Whites'.",a1_possessive_s_plurar
The brothers' feet were muddy.,a1_possessive_s_plurar
The horses' hay is damp.,a1_possessive_s_plurar
The fairies' wings glistened in the moonlight.,a1_possessive_s_plurar
The women's toilets are out of bounds.,a1_possessive_s_plurar
All television is children's television.,a1_possessive_s_plurar
Zeus does not bring all men's plans to fulfilment.,a1_possessive_s_plurar
The players' privileges have been removed.,a1_possessive_s_plurar
Where do you go?,a1_special_questions
Where did Anabel meet your husband?,a1_special_questions
Where have you been today?,a1_special_questions
What kind of fruit do you like best?,a1_special_questions
How did you manage to enter the university?,a1_special_questions
When should I come next time?,a1_special_questions
Why are you always sad?,a1_special_questions
What did you order in the restaurant yesterday?,a1_special_questions
Who won the game?,a1_special_questions
What made you change your decision?,a1_special_questions
What trees grow in your garden?,a1_special_questions
What is his favourite subject?,a1_special_questions
Who gave him a present?,a1_special_questions
Who is your favourite actor?,a1_special_questions
When are you leaving?,a1_special_questions
Whose phone rang?,a1_special_questions
What kind of city is St. Petersburg?,a1_special_questions
Whose photo album is this?,a1_special_questions
Where is my photo?,a1_special_questions
When will we go to the cinema?,a1_special_questions
What music do you like?,a1_special_questions
Which of the trains goes to London?,a1_special_questions
What have you done?,a1_special_questions
How far will she go?,a1_special_questions
How long will it take?,a1_special_questions
What are you doing?,a1_special_questions
Where were you last night?,a1_special_questions
What should I eat for lunch?,a1_special_questions
Why has he eaten this?,a1_special_questions
This is the best chocolate cake I've ever tasted.,a1_superlative_exept
Will is the best scientist in the class.,a1_superlative_exept
Today is the worst day I've had in a long time.,a1_superlative_exept
This is the least expensive sweater in the store.,a1_superlative_exept
"I ran pretty far yesterday, but I ran even farther today.",a1_superlative_exept
That's the best film I have seen this year.,a1_superlative_exept
It's the best café in London,a1_superlative_exept
He's my best student.,a1_superlative_exept
That was the best movie ever.,a1_superlative_exept
"Max is the best at maths in his class, but is the worst at science.",a1_superlative_exept
This is the worst weather in December since records began!,a1_superlative_exept
Leeds is one of the furthest big cities from London.,a1_superlative_exept
"Simon has done the least work in the whole team, but has got all the credit!",a1_superlative_exept
This is the worst day of my life!,a1_superlative_exept
What we anticipate seldom occurs; what we least expected generally happens.,a1_superlative_exept
Pearl is the worst behaved dolphin in the project's history.,a1_superlative_exept
The best defense against the atom bomb is not to be there when it goes off.,a1_superlative_exept
I bought the least expensive souvenir that I could find.,a1_superlative_exept
That was the best birthday present ever!,a1_superlative_exept
The furthest point from land is known as Point Nemo.,a1_superlative_exept
You're the best mother in the world!,a1_superlative_exept
"Mama, who has the most worms?",a1_superlative_exept
Janet is the best at math.,a1_superlative_exept
Pluto is the farthest planet in the solar system.,a1_superlative_exept
This was the worst movie I have ever seen.,a1_superlative_exept
They have the best burger in the world.,a1_superlative_exept
John lives the farthest.,a1_superlative_exept
John's test score was the worst in our class.,a1_superlative_exept
John's test score was the best in our class.,a1_superlative_exept
She is the most polite person I have ever met.,a1_superlative_long
She's the most beautiful girl I've ever seen.,a1_superlative_long
John and Lisa are the most intelligent students here.,a1_superlative_long
I'm the most productive early in the morning.,a1_superlative_long
London is most depressing in January.,a1_superlative_long
I can't find my most comfortable jeans.,a1_superlative_long
This is the most interesting book I have ever read.,a1_superlative_long
Sam is the most handsome boy in the whole school.,a1_superlative_long
Jerry is the least worried about the game.,a1_superlative_long
Trains are the most expensive transport in London.,a1_superlative_long
These are my most comfortable trousers.,a1_superlative_long
Switzerland is the most expensive country in Europe.,a1_superlative_long
He's the most hard-working student I've ever taught.,a1_superlative_long
It was the most interesting film we'd seen this year.,a1_superlative_long
Mauritius is one of the most popular honeymoon destinations.,a1_superlative_long
Science is the most boring class that I take at school.,a1_superlative_long
"The most exciting phrase to hear in science, the one that heralds new discoveries, is not Eureka! but That's funny.",a1_superlative_long
This is the most rapid method of delivery.,a1_superlative_long
Those were the least comfortable couches I have ever sat on.,a1_superlative_long
It is turning out to be the most beautiful day of my life.,a1_superlative_long
Going on a safari was the most adventurous vacation Claudia experienced over the summer.,a1_superlative_long
This is the least expensive phone in the store.,a1_superlative_long
This is the least popular park in Toluca.,a1_superlative_long
My grandpa is the most careful person I have ever met.,a1_superlative_long
This is the most difficult test I have ever taken.,a1_superlative_long
You have the most beautiful eyes in the family!,a1_superlative_long
The second book is the most interesting of the trilogy.,a1_superlative_long
It is the most expensive piece of clothing I have ever bought.,a1_superlative_long
Jane is the smartest in her class.,a1_superlative_short
It is the oldest building in the village.,a1_superlative_short
"Of all the boys, Paul runs the fastest.",a1_superlative_short
