sentences,affirmative,negative,question,type
I can do it,1.0,0.0,0.0,can
I can take care of myself,1.0,0.0,0.0,can
One cannot see them with the naked eye,0.0,1.0,0.0,can
I can't see the bones all right,0.0,1.0,0.0,can
Can you look at my screen? ,0.0,0.0,1.0,can
can you believe the luck?,0.0,0.0,1.0,can
You can spend it with a free conscience,1.0,0.0,0.0,can
I can handle it,1.0,0.0,0.0,can
I can't get it,0.0,1.0,0.0,can
you can't see them,0.0,1.0,0.0,can
Can the system learn to predict crime targets?,0.0,0.0,1.0,can
Can that be prevented?,0.0,0.0,1.0,can
You can ask Dorothy,1.0,0.0,0.0,can
You can know everything in the world and still make bad decisions,1.0,0.0,0.0,can
you can't get a copy of your genome,0.0,1.0,0.0,can
we can't identify the troublemaking gene,0.0,1.0,0.0,can
can anyone do this?,0.0,0.0,1.0,can
can doctors cure it?,0.0,0.0,1.0,can
that device can track your location,1.0,0.0,0.0,can
I can remember,1.0,0.0,0.0,can
I can't walk,0.0,1.0,0.0,can
I can't just imagine,0.0,1.0,0.0,can
can I explain?,0.0,0.0,1.0,can
can you laugh at it?,0.0,0.0,1.0,can
you can go to Californy,1.0,0.0,0.0,can
You can sit up,1.0,0.0,0.0,can
we can't get them,0.0,1.0,0.0,can
We can't stop right here,0.0,1.0,0.0,can
can we rest tonight?,0.0,0.0,1.0,can
Can we swim in it?,0.0,0.0,1.0,can
you can enjoy the evening now!,1.0,0.0,0.0,can
 I can do everything,1.0,0.0,0.0,can
I can't  help him,0.0,1.0,0.0,can
You can't know everything,0.0,1.0,0.0,can
Can floors be added? ,0.0,0.0,1.0,can
Can you remember anything?,0.0,0.0,1.0,can
it can be so,1.0,0.0,0.0,can
I can talk,1.0,0.0,0.0,can
you can't hear my words,0.0,1.0,0.0,can
they cannot kill the bird,0.0,1.0,0.0,can
Can you point it out to me?,0.0,0.0,1.0,can
Can he hear me talking?,0.0,0.0,1.0,can
I could do it,1.0,0.0,0.0,could
I could take care of myself,1.0,0.0,0.0,could
One couldn't see them with the naked eye,0.0,1.0,0.0,could
I couldn't see the bones all right,0.0,1.0,0.0,could
could you look at my screen? ,0.0,0.0,1.0,could
could you believe the luck?,0.0,0.0,1.0,could
You could spend it with a free conscience,1.0,0.0,0.0,could
I could handle it,1.0,0.0,0.0,could
I could get it,0.0,1.0,0.0,could
you could see them,0.0,1.0,0.0,could
could the system learn to predict crime targets?,0.0,0.0,1.0,could
could that be prevented?,0.0,0.0,1.0,could
You could ask Dorothy,1.0,0.0,0.0,could
You could know everything in the world and still make bad decisions,1.0,0.0,0.0,could
you couldn't get a copy of your genome,0.0,1.0,0.0,could
we couldn't identify the troublemaking gene,0.0,1.0,0.0,could
could anyone do this?,0.0,0.0,1.0,could
